?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/GO_0035701>	"The orderly movement of a hematopoietic stem cell from one site to another. A hematopoietic stem cell is a cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system."	
<http://purl.obolibrary.org/obo/PATO_0000356>		
<http://purl.obolibrary.org/obo/PATO_0000489>		
<http://purl.obolibrary.org/obo/GO_0050906>	"The series of events involved in sensory perception in which a sensory stimulus is received and converted into a molecular signal."	"Wikipedia:Transduction_(physiology)"
<http://purl.obolibrary.org/obo/GO_1902913>	"Any process that activates or increases the frequency, rate or extent of neuroepithelial cell differentiation."	
<http://purl.obolibrary.org/obo/UBERON_0004273>	"A cranial suture that is part of a cartilaginous joint [Automatically generated definition]."	"MA:0001498"
<http://purl.obolibrary.org/obo/GO_1901609>	"Any process that stops, prevents or reduces the frequency, rate or extent of vesicle transport along microtubule."	
<http://purl.obolibrary.org/obo/PATO_0002065>	"A shape quality inhering in a bearer by virtue of the bearer's being arranged like rays or radii; radiating from a common center."	
<http://purl.obolibrary.org/obo/GO_0010632>	"Any process that modulates the frequency, rate or extent of epithelial cell migration."	
<http://purl.obolibrary.org/obo/NCBITaxon_1445966>		"GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0002204>	"Anatomical system that consists of the muscular and skeletal systems."	"VSAO:0000031 EMAPA:32714 EV:0100139 SCTID:278858007 CALOHA:TS-1311 VHOG:0001275 MA:0002418 Wikipedia:Musculoskeletal_system XAO:0000168 GAID:98 NCIT:C12754 MESH:D009141 AAO:0010546 FMA:7482"
<http://purl.obolibrary.org/obo/GO_0048742>	"Any process that modulates the frequency, rate or extent of skeletal muscle fiber development. Muscle fibers are formed by the maturation of myotubes. They can be classed as slow, intermediate/fast or fast."	
<http://purl.obolibrary.org/obo/GO_1903551>	"Any process that modulates the frequency, rate or extent of extracellular vesicular exosome assembly."	
<http://purl.obolibrary.org/obo/GO_0006024>	"The chemical reactions and pathways resulting in the formation of glycosaminoglycans, any of a group of polysaccharides that contain amino sugars."	
<http://purl.obolibrary.org/obo/GO_0110116>	"Any process that modulates the frequency, rate or extent of compound eye photoreceptor cell differentiation."	
<http://purl.obolibrary.org/obo/GO_1905432>	"Any process that modulates the frequency, rate or extent of retrograde trans-synaptic signaling by neuropeptide."	
<http://purl.obolibrary.org/obo/GO_0006847>	"The directed movement of acetate across a plasma membrane."	
<http://purl.obolibrary.org/obo/PATO_0001463>	"A quality inhering in a cell's plasma membrane by virtue of a brief fluctuation in the bearer's potential caused by the rapid opening and closing of voltage-gated ion channels."	
<http://purl.obolibrary.org/obo/UBERON_0010364>	"Skeletal subdivision that undergoes direct development and includes elements that either develop in association with the basement membrane of the ectoderm or are homologous with such elements; includes dermatocranium, components of the appendicular skeleton, teeth and tooth-like elements of the oropharynx, and integumentary elements."	"XAO:0004025 VSAO:0000035"
<http://purl.obolibrary.org/obo/CHEBI_35341>	"Any of naturally occurring compounds and synthetic analogues, based on the cyclopenta[a]phenanthrene carbon skeleton, partially or completely hydrogenated; there are usually methyl groups at C-10 and C-13, and often an alkyl group at C-17. By extension, one or more bond scissions, ring expansions and/or ring contractions of the skeleton may have occurred. Natural steroids are derived biogenetically from squalene which is a triterpene."	"KEGG:C00377 MetaCyc:Steroids"
<http://purl.obolibrary.org/obo/UBERON_0002057>	"An artery that supplies the diaphragm."	"FMA:69330 MA:0002019 NCIT:C33320"
<http://purl.obolibrary.org/obo/CHEBI_43176>		"PDBeChem:OH"
<http://purl.obolibrary.org/obo/PATO_0000838>		
<http://purl.obolibrary.org/obo/PATO_0000705>		
<http://purl.obolibrary.org/obo/GO_0034220>	"A process in which a monoatomic ion is transported across a membrane. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."	
<http://purl.obolibrary.org/obo/UBERON_2001053>		"ZFA:0001053 TAO:0001053 EFO:0003612"
<http://purl.obolibrary.org/obo/GO_0014887>	"The process in which cardiac muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors."	
<http://purl.obolibrary.org/obo/GO_2000826>	"Any process that modulates the frequency, rate or extent of heart morphogenesis."	
<http://purl.obolibrary.org/obo/GO_0110123>	"Any process that modulates the frequency, rate or extent of myotube cell migration."	
<http://purl.obolibrary.org/obo/UBERON_0000977>	"The invaginated serous membrane that surrounds the lungs (the visceral portion) and lines the walls of the pleural cavity (parietal portion)."	"BTO:0001791 CALOHA:TS-2081 MESH:D010994 SCTID:181609007 FMA:9583 Wikipedia:Pleura VHOG:0000394 GAID:360 EFO:0001980 MA:0000433 NCIT:C12469 EV:0100044"
<http://purl.obolibrary.org/obo/PATO_0001593>	"A curvature which is relatively low."	
<http://purl.obolibrary.org/obo/PATO_0002420>	"Having both hydrophilic and hydrophobic (or lipophilic) groups."	
<http://purl.obolibrary.org/obo/GO_0021915>	"The process whose specific outcome is the progression of the neural tube over time, from its formation to the mature structure. The mature structure of the neural tube exists when the tube has been segmented into the forebrain, midbrain, hindbrain and spinal cord regions. In addition neural crest has budded away from the epithelium."	
<http://purl.obolibrary.org/obo/GO_0051674>	"Any process in which a cell is transported to, and/or maintained in, a specific location."	
<http://purl.obolibrary.org/obo/UBERON_0003711>	"The left and right brachiocephalic veins in the upper chest are formed by the union of each corresponding internal jugular vein and subclavian vein. This is at the level of the sternoclavicular joint. These great vessels merge to form the superior vena cava. The brachiocephalic veins are the major veins returning blood to the superior vena cava."	"SCTID:181371003 EHDAA2:0000182 galen:BrachiocephalicVein GAID:529 EHDAA:9868 MESH:D016121 Wikipedia:Brachiocephalic_vein NCIT:C32816 FMA:4723"
<http://purl.obolibrary.org/obo/GO_0035270>	"Progression of the endocrine system over time, from its formation to a mature structure. The endocrine system is a system of hormones and ductless glands, where the glands release hormones directly into the blood, lymph or other intercellular fluid, and the hormones circulate within the body to affect distant organs. The major glands that make up the human endocrine system are the hypothalamus, pituitary, thyroid, parathryoids, adrenals, pineal body, and the reproductive glands which include the ovaries and testes."	
<http://purl.obolibrary.org/obo/GO_0044089>	"Any process that activates or increases the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."	
<http://purl.obolibrary.org/obo/PATO_0002183>	"A molecular quality that inheres in a molecular entity by virtue of whether that there is a presence of cycles in the connection of the atoms within the molecular entity."	
<http://purl.obolibrary.org/obo/PATO_0001817>	"A fatigability which is relatively low."	
<http://purl.obolibrary.org/obo/GO_0090087>	"Any process that modulates the frequency, rate or extent of the directed movement of peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/PATO_0001683>	"A magnetism which is relatively high."	
<http://purl.obolibrary.org/obo/GO_0072676>	"The movement of a lymphocyte within or between different tissues and organs of the body."	
<http://purl.obolibrary.org/obo/UBERON_0011823>	"Dense connective tissue is mainly composed of collagen type I. Crowded between the collagen fibers are rows of fibroblasts, fiber-forming cells, that manufacture the fibers. Dense connective tissue forms strong, rope-like structures such as tendons and ligaments. Tendons attach skeletal muscles to bones; ligaments connect bones to bones at joints. Ligaments are more stretchy and contain more elastic fibers than tendons. Dense connective tissue also make up the lower layers of the skin (dermis), where it is arranged in sheets."	"AAO:0000121 Wikipedia:Dense_connective_tissue NCIT:C32450"
<http://purl.obolibrary.org/obo/GO_0033605>	"Any process that activates or increases the frequency, rate or extent of the regulated release of a catecholamine."	
<http://purl.obolibrary.org/obo/PATO_0000839>		
<http://purl.obolibrary.org/obo/PATO_0010007>	"A cellular quality inhering in a bearer by virtue of the bearer's having multiple cilia."	
<http://purl.obolibrary.org/obo/UBERON_0002185>	"The upper conducting airways of the lung; these airways arise from the terminus of the trachea."	"MESH:D001980 XAO:0000121 MA:0000436 MAT:0000133 EMAPA:32689 MIAA:0000133 Wikipedia:Bronchus EFO:0000932 FMA:7409 VHOG:0000262 CALOHA:TS-1229 GAID:346 SCTID:181215002 NCIT:C12683 BTO:0001340 EV:0100041"
<http://purl.obolibrary.org/obo/UBERON_0000088>	"The mesectodermal cell layer arising from the trophectoderm that erodes the uterine mucosa and contributes to the formation of the placenta."	"CALOHA:TS-1070 Wikipedia:Trophoblast GAID:1152 MESH:D014327 SCTID:362839005 FMA:83029 NCIT:C93292 BTO:0001079 EV:0100120"
<http://purl.obolibrary.org/obo/GO_0060294>	"Movement of cilia mediated by motor proteins that contributes to the movement of a cell."	
<http://purl.obolibrary.org/obo/GO_0035736>	"The multiplication or reproduction of cells, resulting in the expansion of a cell population that contributes to compound eye morphogenesis."	
<http://purl.obolibrary.org/obo/GO_1900619>	"The chemical reactions and pathways involving an acetate ester, any carboxylic ester where the carboxylic acid component is acetic acid."	
<http://purl.obolibrary.org/obo/PATO_0001068>		
<http://purl.obolibrary.org/obo/UBERON_0004375>	"A bone that is part of an appendage [Automatically generated definition]."	
<http://purl.obolibrary.org/obo/GO_0051785>	"Any process that activates or increases the frequency, rate or extent of nuclear division, the partitioning of the nucleus and its genetic information."	
<http://purl.obolibrary.org/obo/CHEBI_32988>	"An amide is a derivative of an oxoacid RkE(=O)l(OH)m (l =/= 0) in which an acidic hydroxy group has been replaced by an amino or substituted amino group."	"KEGG:C00241"
<http://purl.obolibrary.org/obo/PATO_0001993>	"A cellularity quality inhering in a bearer by virtue of the bearer's consisting of more than one cell."	
<http://purl.obolibrary.org/obo/PATO_0002261>	"A spatial quality inhering in a bearer by virtue of the bearer's location within another entity."	
<http://purl.obolibrary.org/obo/GO_0090316>	"Any process that activates or increases the frequency, rate or extent of the directed movement of proteins within cells."	
<http://purl.obolibrary.org/obo/PATO_0000836>		
<http://purl.obolibrary.org/obo/PATO_0001699>	"A sleep pattern which has regular start and/or end times."	
<http://purl.obolibrary.org/obo/GO_1904206>	"Any process that activates or increases the frequency, rate or extent of skeletal muscle hypertrophy."	
<http://purl.obolibrary.org/obo/PATO_0000703>		
<http://purl.obolibrary.org/obo/GO_0045637>	"Any process that modulates the frequency, rate or extent of myeloid cell differentiation."	
<http://purl.obolibrary.org/obo/UBERON_0004572>	"The part of the cardiovascular system consisting of all arteries."	"SCTID:362030008 VHOG:0000273 EHDAA:396 EMAPA:16371 EHDAA2:0000143 MA:0002719 BTO:0004690 EMAPA:16201"
